OBJECTID,SiteID,Location,Year,Count,Historical_annual_data,NO2 2024,Annual mean NO2 concentration μg m3,Survey,Current_,x,y
1687,113,Victoria Street,2012,12,"2010: 53.9, 2011: 55.2, 2012: 51.8, 2013: 48.4, 2014: 48.8, 2015: 47.5, 2016: 45.5, 2017: 49.9, 2018: 40.5, 2019: 37.4, 2020: 29.9, 2021: 27.8, 2022: 32, 2023: 29.4, 2024: 28.3",,51.8,redcliffe way templegate (DT),No,-288062.502763533,6701599.37177948
1688,15,Horsefair,2012,12,"2010: 54.7, 2011: 50.9, 2012: 49.5, 2013: 53.6, 2014: 48.6, 2015: 50.8, 2016: 51.2, 2017: 49.4, 2018: 47.5, 2019: 42.2, 2020: 28.2, 2021: 31.5, 2022: 31.3, 2023: 26.4, 2024: 25.9",,49.5,Roadside (DT),Yes,-288014.971267504,6702867.14929257
1689,13,Ferndown Close,2012,12,"2010: 31.1, 2011: 19.4, 2012: 18.1, 2013: 18.8, 2014: 16.3, 2015: 16.4, 2016: 18.5, 2017: 20.1",,18.1,Roadside (DT),No,-295764.424890332,6709235.86764723
1690,8,Higham Street,2012,12,"2010: 29.8, 2011: 25.7, 2012: 25.6, 2013: 26.8, 2014: 22.6, 2015: 22.5, 2016: 26.3, 2017: 21.9",,25.6,Roadside (DT),No,-287126.547721504,6700333.22530665
1691,11,Whitefriars,2012,12,"2010: 60.8, 2011: 56.1, 2012: 53.2, 2013: 56.3, 2014: 48.8, 2015: 51.4, 2016: 51.7, 2017: 49.2, 2018: 48.1, 2019: 41.1, 2020: 31.1, 2021: 35, 2022: 35.3, 2023: 29.6, 2024: 29.4",,53.2,Roadside (DT),Yes,-288783.750004099,6702631.21072234
1692,9,B.R.I.,2012,11,"2010: 65.4, 2011: 58, 2012: 52, 2013: 54, 2014: 49.3, 2015: 48, 2016: 48.8, 2017: 46.5, 2018: 44.7, 2019: 37.8, 2020: 31.7, 2021: 39.3, 2022: 36, 2023: 27.8",,52,Roadside (DT),No,-288920.3727828,6702882.30805318
1693,370,Great George Street lamppost,2012,11,"2010: 49.2, 2011: 43.7, 2012: 39.5, 2013: 39.4, 2014: 36.9, 2015: 37.7, 2016: 38.4, 2017: 37.5, 2018: 36.6, 2019: 30.1, 2021: 25, 2022: 31, 2023: 25.3, 2024: 21.2",,39.5,BROADMEAD,Yes,-287244.687317758,6702918.28830893
1694,485,Avonmouth Road - Telegraph Pole Opposite Hse No 4,2012,11,"2012: 41.2, 2013: 35.7, 2014: 35, 2015: 35.5, 2016: 36.4, 2017: 34",,41.2,Avonmouth Road,No,-298714.733114574,6709390.45378664
1695,462,Millpond School play area,2012,12,"2010: 35.8, 2011: 32.6, 2012: 31.7, 2013: 32.9, 2014: 29.2, 2015: 30.4, 2016: 30.8, 2017: 34.6",,31.7,Millpond School,No,-286278.220554745,6704320.44194323
1696,460,Cheltenham Road \ Station Road,2012,2,"2010: 39.1, 2011: 38, 2012: 26.6",,26.6,QAQC,No,-288620.733959964,6704666.50138393
1697,422,North St/Langton Park T junction,2012,12,"2010: 43.4, 2011: 41.2, 2012: 39.8, 2013: 39, 2014: 34.1, 2015: 35, 2016: 39.4, 2017: 36.5, 2018: 34.1, 2019: 27.4, 2020: 23.4",,39.8,Post DA Facades,No,-289793.129417391,6699704.60992124
1698,403,Lamp post 48 230 Bath Road,2012,12,"2010: 46.5, 2011: 43.9, 2012: 43.6, 2013: 46.6, 2014: 39.2, 2015: 41.5, 2016: 37.5, 2017: 35.7, 2018: 35.6, 2019: 28.1, 2020: 23.4, 2021: 25.5, 2022: 25.5, 2023: 20.2, 2024: 20.6",,43.6,Post DA Facades,Yes,-286047.399122808,6699977.1677698
1699,397,facade avonmouth road underpass - house to SE,2012,11,"2010: 38.4, 2011: 35.9, 2012: 34, 2013: 34.4, 2014: 28.5, 2015: 33, 2016: 33.8, 2017: 33.4",,34,Post DA Facades,No,-298837.117054549,6709445.57805865
1700,429,facade villiers road stapleton road junction,2012,12,"2010: 60.3, 2011: 57.8, 2012: 57.3, 2013: 60.6, 2014: 54.7, 2015: 50.4, 2016: 52.1, 2017: 47.8, 2018: 46.8, 2019: 41.2, 2020: 38.8, 2021: 36.4, 2022: 35.5, 2023: 38, 2024: 35.3",,57.3,Post DA Facades,Yes,-286116.033413056,6703865.40916925
1701,426,City Rd/Ashley Rd lamppost No 16,2012,10,"2010: 40.7, 2011: 40, 2012: 39.5, 2013: 38, 2014: 34, 2015: 32.5, 2016: 34.2, 2017: 33.5",,39.5,Post DA Facades,No,-287666.22851714,6703943.12855516
1702,261,Stapleton Road Heath Street,2012,12,"2010: 55.8, 2011: 48.2, 2012: 53, 2013: 55.8, 2014: 50.6, 2015: 51.3, 2016: 53.1, 2017: 52.4, 2018: 51, 2019: 41.5, 2020: 34.7, 2021: 39.1, 2022: 39.3, 2023: 32, 2024: 33",,53,Roadside Stage 4 (DT),Yes,-285135.992821959,6705418.74590538
1703,418,Bedminster Down Rd lamppost between Ashton Motors & Plough PH,2012,12,"2010: 92.9, 2011: 90.5, 2012: 81.8, 2013: 74, 2014: 67.7, 2015: 63.7, 2016: 69.3, 2017: 58.4, 2018: 55.7, 2019: 51.1, 2020: 40.2, 2021: 45.9, 2022: 44.1, 2023: 32.8, 2024: 31.7",,81.8,Post DA Facades,Yes,-290471.62510202,6698281.14621008
1704,325,Facade   258 Fishponds Road Fishponds,2012,12,"2010: 51.8, 2011: 53, 2012: 49.8, 2013: 45.8, 2014: 49.7, 2015: 50.8, 2016: 50.5, 2017: 49.2, 2018: 48.1, 2019: 39.4, 2020: 34.1, 2021: 37.3, 2022: 32.6, 2023: 29.4, 2024: 27.6",,49.8,Post Stage Four,Yes,-284232.620635064,6705496.34843142
1705,303,Facade   784 Muller Road Fishponds,2012,11,"2010: 55.4, 2011: 52.1, 2012: 48.5, 2013: 48.2, 2014: 43.5, 2015: 46.1, 2016: 46.2, 2017: 44, 2018: 43.8, 2019: 36.5, 2020: 29.2, 2021: 31.8, 2022: 31.2, 2023: 24.1, 2024: 23.3",,48.5,Post Stage Four,Yes,-284712.640975304,6705600.36391359
1706,239,Parson St. A38 East,2012,11,"2010: 81.3, 2011: 82, 2012: 76.9, 2013: 78, 2014: 65.4, 2015: 69.2, 2016: 68.9, 2017: 66.8, 2018: 65.2, 2019: 54.4, 2020: 47.6, 2021: 51.4, 2022: 48.6, 2023: 40.5, 2024: 38.1",,76.9,Roadside Stage 4 (DT),Yes,-290240.840052813,6698064.71461172
1707,155,Jacobs Wells Road South,2012,12,"2010: 47.4, 2011: 52.4, 2012: 46.9, 2013: 48.5, 2014: 38.8, 2015: 39.9, 2016: 43.1, 2017: 37.9, 2018: 40.1, 2019: 31.1, 2020: 22.9, 2021: 25.5, 2022: 24.2, 2023: 17.5, 2024: 15.2",,46.9,harbourside (DT),Yes,-290337.435875919,6701608.05267219
1708,157,Stokes Croft  Ashley Road,2012,12,"2010: 64.9, 2011: 61.8, 2012: 55.9, 2013: 56, 2014: 51.4, 2015: 53.3, 2016: 52.8, 2017: 48.6, 2018: 45.4, 2019: 43.1, 2020: 35.7, 2021: 40.3, 2022: 35, 2023: 35.2, 2024: 33.7",,55.9,gloucester road showcase route (DT),Yes,-288303.158453479,6703836.78908709
1709,105,Victoria Park,2012,11,"2010: 26, 2011: 19.9, 2012: 20.4, 2013: 21.2, 2014: 17.2, 2015: 18.2, 2016: 20.8, 2017: 19.1",,20.4,Wards (DT),No,-288303.274890422,6699464.66471172
1710,20,Newfoundland Way,2012,11,"2010: 79, 2011: 73.2, 2012: 74.7, 2013: 64.3, 2014: 65.3, 2015: 58.7, 2016: 55.5, 2017: 61.2, 2018: 50.1, 2019: 42.4",,74.7,Roadside (DT),No,-287579.43244068,6703103.57954815
1711,18,Hillcrest,2012,12,"2010: 26.5, 2011: 20.3, 2012: 21.3, 2013: 22.3, 2014: 18.1, 2015: 17.8, 2016: 20.2, 2017: 18.4",,21.3,Roadside (DT),No,-285734.537313679,6697418.60705167
1712,5,Bedminster Parade,2012,12,"2010: 66.6, 2011: 57.2, 2012: 54.6, 2013: 58.7, 2014: 47.6, 2015: 50.9, 2016: 51.3, 2017: 45.8, 2018: 45.8, 2019: 39.9, 2020: 31.6, 2021: 41, 2022: 37.9, 2023: 33.5, 2024: 34.9",,54.6,Roadside (DT),Yes,-288906.606435902,6699999.33324423
1713,6,Church Road,2012,12,"2010: 40.9, 2011: 35.2, 2012: 33.6, 2013: 33.5, 2014: 30.5, 2015: 31.3, 2016: 33.7, 2017: 32.3",,33.6,Roadside (DT),No,-284862.629972362,6702776.2252846
1714,4,Three Lamps,2012,12,"2010: 62.3, 2011: 59.8, 2012: 58.4, 2013: 60.6, 2014: 55.8, 2015: 53.3, 2016: 55.2, 2017: 52.7, 2018: 53.5, 2019: 41, 2020: 36.8, 2021: 38.9, 2022: 38.4, 2023: 29.3, 2024: 30.7",,58.4,Roadside (DT),Yes,-287018.565739922,6700248.9656145
1715,10,Bath Road,2012,12,"2010: 68.2, 2011: 62.3, 2012: 58.4, 2013: 61.5, 2014: 50.1, 2015: 49.3, 2016: 54.5, 2017: 51.6, 2018: 51.5, 2019: 42.2, 2020: 33.6, 2021: 36.8, 2022: 35.9, 2023: 30.7, 2024: 30.3",,58.4,Roadside (DT),Yes,-284908.842563162,6699589.32161916
1716,406,Whitehall Rd lamppost 17 nr juction with Chalks Rd,2012,12,"2010: 48.1, 2011: 37.5, 2012: 36.5, 2013: 36.5, 2014: 34.9, 2015: 35.4, 2016: 36.2, 2017: 38.9, 2018: 38.5, 2019: 31, 2020: 26.6, 2021: 29.3, 2022: 29.6, 2023: 24.2, 2024: 23.2",,36.5,Post DA Facades,Yes,-284362.720936092,6703411.38989974
1717,3,Blackboy Hill,2012,11,"2010: 46, 2011: 36.6, 2012: 37.7, 2013: 41.2, 2014: 36.3, 2015: 37.9, 2016: 37.6, 2017: 34.4, 2018: 34.4, 2019: 27.7, 2020: 28.7, 2021: 44.4, 2022: 38.8, 2023: 47.7, 2024: 29",,37.7,Roadside (DT),Yes,-290988.19933068,6704714.42467723
1718,14,Red Lion Knowle,2012,12,"2010: 47.9, 2011: 44.1, 2012: 43.2, 2013: 42.2, 2014: 40.4, 2015: 40.1, 2016: 42.3, 2017: 41.1, 2018: 47.6, 2019: 38.7, 2020: 32.4, 2021: 32.7, 2022: 30.3, 2023: 27, 2024: 25.8",,43.2,Roadside (DT),Yes,-285439.186904326,6697740.37180987
1719,17,Anglesea Place,2012,12,"2010: 40.3, 2011: 21, 2012: 21.3, 2013: 25, 2014: 21.2, 2015: 20, 2016: 21.9, 2017: 19.7",,21.3,Roadside (DT),No,-291267.721488841,6704602.80656711
1720,175,top of Brislington Hill,2012,10,"2010: 57.9, 2011: 56.3, 2012: 54.7, 2013: 55.3, 2014: 51.7, 2015: 52.9, 2016: 56.5, 2017: 54, 2018: 54.9, 2019: 44.6, 2020: 36.4, 2021: 41.4, 2022: 38.7, 2023: 30.4, 2024: 30.3",,54.7,bath road showcase route (DT),Yes,-283408.629887594,6698149.144355
1721,16,Third Way,2012,12,"2010: 35.1, 2011: 35.8, 2012: 36.4, 2013: 33.3, 2014: 34.6, 2015: 35.9, 2016: 35.7, 2017: 35.2, 2018: 32.6, 2019: 28.7, 2020: 23.2, 2021: 24.9, 2022: 25.8, 2023: 21.5, 2024: 21.5",,36.4,Roadside (DT),No,-299319.725243601,6711147.03571026
1722,23,Old Market,2012,32,"2010: 56.3, 2011: 52.3, 2012: 47.9, 2013: 50.6, 2014: 44.2, 2015: 45.3, 2016: 47.2, 2017: 46.7",,47.9,Roadside (DT),No,-287592.734480822,6702358.09069367
1723,154,Hotwells Road,2012,12,"2010: 54.7, 2011: 40.9, 2012: 40.3, 2013: 44.3, 2014: 38.5, 2015: 37.2, 2016: 39.6, 2017: 38.5, 2018: 36.2, 2019: 30, 2020: 22.1, 2021: 25.4, 2022: 26.1, 2023: 17.8, 2024: 17.5",,40.3,harbourside (DT),Yes,-290714.010739251,6701235.48836649
1724,300,Facade Haart Estate Agents 755 Fishponds Road Fishponds,2012,12,"2010: 47, 2011: 52.8, 2012: 49.9, 2013: 48.5, 2014: 42.4, 2015: 45.9, 2016: 48.1, 2017: 45.9, 2018: 41.1, 2019: 35.1, 2020: 28.9, 2021: 28.7, 2022: 27.5, 2023: 21.2, 2024: 26.4",,49.9,Post Stage Four,Yes,-281520.287175529,6706769.98297697
1725,373,123 Newfoundland Street façade,2012,12,"2010: 53, 2011: 47.9, 2012: 44.9, 2013: 45.2, 2014: 41.6, 2015: 38.3, 2016: 39.5, 2017: 38.5, 2018: 35.7, 2019: 31.2, 2020: 23.9, 2021: 27.9, 2022: 27.4, 2023: 22.3, 2024: 21.5",,44.9,BROADMEAD,Yes,-287292.865269621,6703337.20318085
1726,398,Avonmouth Rd No 31 on facia,2012,12,"2010: 40.1, 2011: 34.9, 2012: 31.8, 2013: 34, 2014: 31.9, 2015: 30.1, 2016: 31.8, 2017: 31.2",,31.8,Post DA Facades,No,-298961.49662735,6709542.48396699
1727,407,lamppost sussex place,2012,12,"2010: 53.9, 2011: 56.5, 2012: 47.3, 2013: 47.1, 2014: 43.9, 2015: 43.1, 2016: 48.7, 2017: 44.6, 2018: 46.7, 2019: 37.3, 2020: 26.7, 2021: 30.2, 2022: 29.5, 2023: 24.8",,47.3,Post DA Facades,No,-287169.041541866,6704295.74454928
1728,448,Economy Cars,2012,31,"2010: 40.6, 2011: 39.9, 2012: 37.6, 2013: 38.6",,37.6,QAQC,No,-286244.19575046,6699949.93652804
1729,473,B&G Snax West St,2012,12,"2010: 49.2, 2011: 43.1, 2012: 44.6, 2013: 43.5, 2014: 40.7, 2015: 49.6, 2016: 57.1, 2017: 40.1, 2018: 44, 2019: 42.4, 2020: 40, 2021: 28.4, 2022: 28.4, 2023: 26.1, 2024: 25.7",,44.6,USA 2009,Yes,-289888.728777705,6699059.90410014
1730,484,Avonmouth Road - School Sign Opposite Hse No 16,2012,10,"2012: 40.2, 2013: 37.2",,40.2,Avonmouth Road,No,-298769.803402782,6709449.42451173
1731,482,Avonmouth Road - Lampost (20) Opposite Number Hse No 45,2012,12,"2012: 35.8, 2013: 36.7, 2014: 35.8, 2015: 35.1, 2016: 36.4, 2017: 33.9",,35.8,Avonmouth Road,No,-299044.204309352,6709641.38886502
1732,472,Jamiesons Autos,2012,12,"2010: 52.4, 2011: 47.4, 2012: 46.5, 2013: 48.2, 2014: 45.2, 2015: 40, 2016: 45.3, 2017: 41.6, 2018: 37.3, 2019: 33.7, 2020: 26.2, 2021: 28.7, 2022: 29, 2023: 25.8, 2024: 25.7",,46.5,USA 2009,Yes,-289697.065688815,6699318.40485888
1733,470,Victoria Park Primary,2012,11,"2010: 43.3, 2011: 39.4, 2012: 39.6, 2013: 37.8, 2014: 35, 2015: 38.7, 2016: 39.4, 2017: 35.9, 2018: 37.9, 2019: 29.4, 2020: 25.1, 2021: 26.8, 2022: 28.3, 2023: 24.2, 2024: 21.7",,39.6,USA 2009,Yes,-288112.730275877,6698870.47455211
1734,464,Fishponds Road,2012,36,"2010: 42.2, 2011: 39.2, 2012: 38, 2013: 35.7, 2014: 36, 2015: 34.9, 2016: 36.9, 2017: 36.8, 2018: 34.4, 2019: 29.7, 2020: 24.2, 2021: 23.7, 2022: 24, 2023: 20.8, 2024: 20.8",,38,QAQC,Yes,-282218.963762018,6706297.20472537
1735,441,Avon Probation Service,2012,36,"2010: 58.7, 2011: 57.8, 2012: 55, 2013: 56.1, 2014: 50.2, 2015: 45.8, 2016: 45.1",,55,QAQC,No,-287455.135573451,6703189.71654543
1736,12,Galleries,2012,12,"2010: 58.2, 2011: 55.2, 2012: 50.8, 2013: 56.7, 2014: 51.3, 2015: 52.5, 2016: 52.8, 2017: 56.6, 2018: 57.5, 2019: 51.8, 2020: 41.9, 2021: 46.5, 2022: 50.2, 2023: 60.2, 2024: 35.3",,50.8,Roadside (DT),Yes,-288254.965440197,6702425.05893974
1737,21,Gloucester Road,2012,12,"2010: 50.1, 2011: 44.5, 2012: 43.1, 2013: 52, 2014: 50.4, 2015: 51.6, 2016: 50.2, 2017: 49.3, 2018: 46.4, 2019: 38.3, 2020: 33.4, 2021: 34.9, 2022: 34, 2023: 30.9, 2024: 33",,43.1,Roadside (DT),Yes,-288453.491473036,6705789.48523368
1738,125,York Road,2012,12,"2010: 72.8, 2011: 66.5, 2012: 63, 2013: 59.6, 2014: 53.3, 2015: 52.9, 2016: 52.9, 2017: 56, 2018: 50.3, 2019: 45.2, 2020: 35.6, 2021: 35.8, 2022: 33.6, 2023: 24.3, 2024: 19.7",,63,redcliffe way templegate (DT),Yes,-288122.962480237,6700347.74496852
1739,147,Anchor Road,2012,12,"2010: 65.6, 2011: 66.4, 2012: 60.6, 2013: 60.2, 2014: 57, 2015: 60.1, 2016: 56.9, 2017: 61.5, 2018: 56.6, 2019: 50.9, 2020: 39.4, 2021: 43.3, 2022: 45.5, 2023: 39.5, 2024: 36.3",,60.6,harbourside (DT),Yes,-289254.257300207,6701581.66334233
1740,483,Avonmouth Road - Lampost (19) Opposite Hse No 37,2012,12,"2012: 38.5, 2013: 36.5, 2014: 37.2, 2015: 37.1, 2016: 38.1, 2017: 36.3",,38.5,Avonmouth Road,No,-298989.311077002,6709601.71027226
1741,297,Facade   383 Church Road Redfield,2012,11,"2010: 39.1, 2011: 36.7, 2012: 33.6, 2013: 34.9, 2014: 34.9",,33.6,Post Stage Four,No,-283168.484313521,6703131.19453382
1742,307,Lamppost     Glenfrome Road \ Muller Road Horfield,2012,12,"2010: 46.6, 2011: 41.5, 2012: 39.5, 2013: 39.8, 2014: 38.4, 2015: 36.6, 2016: 37.4, 2017: 32.6, 2018: 37.3, 2019: 30.7, 2020: 24.6, 2021: 27.5, 2022: 26.8, 2023: 24.5, 2024: 21.6",,39.5,Post Stage Four,Yes,-285709.878701319,6705846.59411472
1743,396,Avonmouth Rd No 28 on facia,2012,12,"2010: 40.4, 2011: 36.3, 2012: 34.7, 2013: 31.9, 2014: 30.7, 2015: 32, 2016: 32.8, 2017: 32.7",,34.7,Post DA Facades,No,-298813.605486695,6709503.67765245
1744,438,A37 Junction w/ Airport Road,2012,34,"2010: 48, 2011: 47.7, 2012: 43.4, 2013: 43.5, 2014: 44, 2015: 43.1, 2016: 43.4, 2017: 43.2, 2018: 36.6, 2019: 31.8, 2020: 27.1, 2021: 29, 2022: 29.4, 2023: 25, 2024: 23.2",,43.4,QAQC,Yes,-285394.401951542,6697329.73212812
1745,455,St. Pauls Day Nursery,2012,33,"2010: 34.8, 2011: 30, 2012: 29.5, 2013: 30.1, 2014: 27.3, 2015: 26.5, 2016: 27.9, 2017: 26, 2018: 24.4, 2019: 20.8, 2020: 15.9, 2021: 16.4, 2022: 16.7, 2023: 14.3, 2024: 13.8",,29.5,QAQC,Yes,-287711.369865179,6703574.84926661
1746,474,Martial Arts West Street,2012,12,"2010: 45.1, 2011: 39.7, 2012: 37.9, 2013: 39.1, 2014: 35.8, 2015: 38.5, 2016: 38.7, 2017: 35.8, 2018: 31.9, 2019: 29.1, 2020: 22.9",,37.9,USA 2009,No,-290069.368921615,6698825.58328779
1747,439,Parson Street School,2012,38,"2010: 41.9, 2011: 40.9, 2012: 40.9, 2013: 44.7, 2014: 42, 2015: 41, 2016: 43.6, 2017: 37.7, 2018: 37.7, 2019: 31.7, 2020: 25.4, 2021: 28.6, 2022: 27.2, 2023: 24, 2024: 22.4",,40.9,QAQC,Yes,-289982.448521423,6698188.87869929
1748,305,Lamppost     Sarah Street Redfield,2011,12,"2010: 43.8, 2011: 37.3, 2012: 36, 2013: 37.1, 2014: 34.2, 2015: 33.3, 2016: 35, 2017: 32.9",,37.3,Post Stage Four,No,-285823.421858351,6702704.55720837
1749,380,Orange Street Façade,2011,11,"2010: 37.6, 2011: 37.7",,37.7,BROADMEAD,No,-287578.340864538,6703167.84855302
1750,396,Avonmouth Rd No 28 on facia,2011,12,"2010: 40.4, 2011: 36.3, 2012: 34.7, 2013: 31.9, 2014: 30.7, 2015: 32, 2016: 32.8, 2017: 32.7",,36.3,Post DA Facades,No,-298813.605486695,6709503.67765245
1751,425,Ashley Rd P sign outside International Market (nr Dalrymple Rd),2011,12,"2010: 43.3, 2011: 42.2, 2012: 41.4, 2013: 38.9, 2014: 43.7",,42.2,Post DA Facades,No,-287985.21592089,6703955.03046855
1752,455,St. Pauls Day Nursery,2011,36,"2010: 34.8, 2011: 30, 2012: 29.5, 2013: 30.1, 2014: 27.3, 2015: 26.5, 2016: 27.9, 2017: 26, 2018: 24.4, 2019: 20.8, 2020: 15.9, 2021: 16.4, 2022: 16.7, 2023: 14.3, 2024: 13.8",,30,QAQC,Yes,-287711.369865179,6703574.84926661
1753,464,Fishponds Road,2011,36,"2010: 42.2, 2011: 39.2, 2012: 38, 2013: 35.7, 2014: 36, 2015: 34.9, 2016: 36.9, 2017: 36.8, 2018: 34.4, 2019: 29.7, 2020: 24.2, 2021: 23.7, 2022: 24, 2023: 20.8, 2024: 20.8",,39.2,QAQC,Yes,-282218.963762018,6706297.20472537
1754,427,Fishponds Rd lamppost 37 outside PO (just before Oakdene Ave),2011,11,"2010: 53.4, 2011: 48",,48,Post DA Facades,No,-283710.061094783,6705489.04305856
1755,466,Savanna coffee drainpipe,2011,12,"2010: 41.1, 2011: 39.7, 2012: 39.6, 2013: 41.1, 2014: 38, 2015: 34, 2016: 35.8, 2017: 33.4, 2018: 33.2, 2019: 27.4, 2020: 20.8",,39.7,USA 2009,No,-290918.706654091,6699851.00397371
1756,467,Strada Exeter Road,2011,12,"2010: 40.7, 2011: 33.4, 2012: 35.1, 2013: 34.8, 2014: 33, 2015: 31.6, 2016: 33.7, 2017: 30.7",,33.4,USA 2009,No,-290754.210004917,6699715.88601269
1757,473,B&G Snax West St,2011,12,"2010: 49.2, 2011: 43.1, 2012: 44.6, 2013: 43.5, 2014: 40.7, 2015: 49.6, 2016: 57.1, 2017: 40.1, 2018: 44, 2019: 42.4, 2020: 40, 2021: 28.4, 2022: 28.4, 2023: 26.1, 2024: 25.7",,43.1,USA 2009,Yes,-289888.728777705,6699059.90410014
1758,17,Anglesea Place,2011,10,"2010: 40.3, 2011: 21, 2012: 21.3, 2013: 25, 2014: 21.2, 2015: 20, 2016: 21.9, 2017: 19.7",,21,Roadside (DT),No,-291267.721488841,6704602.80656711
1759,23,Old Market,2011,36,"2010: 56.3, 2011: 52.3, 2012: 47.9, 2013: 50.6, 2014: 44.2, 2015: 45.3, 2016: 47.2, 2017: 46.7",,52.3,Roadside (DT),No,-287592.734480822,6702358.09069367
1760,254,Merchants Road Hotwells,2011,12,"2010: 47.1, 2011: 55.6, 2012: 55.3, 2013: 53.2, 2014: 51.5, 2015: 54.4, 2016: 51.8, 2017: 52.2, 2018: 49.4, 2019: 40.5, 2020: 31.1, 2021: 34.6, 2022: 33, 2023: 24.7, 2024: 23.9",,55.6,Roadside Stage 4 (DT),Yes,-291486.964634959,6701142.24890875
1761,429,facade villiers road stapleton road junction,2011,12,"2010: 60.3, 2011: 57.8, 2012: 57.3, 2013: 60.6, 2014: 54.7, 2015: 50.4, 2016: 52.1, 2017: 47.8, 2018: 46.8, 2019: 41.2, 2020: 38.8, 2021: 36.4, 2022: 35.5, 2023: 38, 2024: 35.3",,57.8,Post DA Facades,Yes,-286116.033413056,6703865.40916925
1762,426,City Rd/Ashley Rd lamppost No 16,2011,11,"2010: 40.7, 2011: 40, 2012: 39.5, 2013: 38, 2014: 34, 2015: 32.5, 2016: 34.2, 2017: 33.5",,40,Post DA Facades,No,-287666.22851714,6703943.12855516
1763,419,Parson St lamppost outside Bristol Scuba,2011,12,"2010: 63.2, 2011: 54.7, 2012: 54.1, 2013: 53.6, 2014: 56.6, 2015: 53.6, 2016: 55.8, 2017: 51.3, 2018: 45, 2019: 39, 2020: 31.4, 2021: 34.3, 2022: 33.6, 2023: 29.4, 2024: 28.5",,54.7,Post DA Facades,Yes,-290320.090688617,6698353.05372706
1764,413,Wells Rd bus lane sign just below junction with Knowle Rd,2011,11,"2010: 52.2, 2011: 47.1, 2012: 41.4, 2013: 43.7, 2014: 38.4, 2015: 39.3, 2016: 40, 2017: 38.7, 2018: 37.6, 2019: 31.2, 2020: 25.5, 2021: 27.4, 2022: 27.2, 2023: 23.5, 2024: 22.5",,47.1,Post DA Facades,Yes,-286790.024426925,6699701.55784787
1765,320,Monitor     Bath Road Brislington,2011,36,"2010: 34.3, 2011: 33.1, 2012: 31.5, 2013: 31.1, 2014: 30.9, 2015: 31.3, 2016: 31.1, 2017: 30.7, 2018: 27.9, 2019: 23.5, 2020: 19.3, 2021: 20.8, 2022: 20.6, 2023: 17.7, 2024: 17",,33.1,QAQC,Yes,-284969.788762769,6699810.45977789
1766,312,Lamppost     Ashley Hill St. Pauls,2011,12,"2010: 46.8, 2011: 46.4, 2012: 43.7, 2013: 44.5, 2014: 36.7, 2015: 36.8, 2016: 41.6, 2017: 38.5, 2018: 38.5, 2019: 32.8, 2020: 26.2, 2021: 29.5, 2022: 29.8, 2023: 24.8, 2024: 23.5",,46.4,Post Stage Four,Yes,-287167.355516468,6704691.02392647
1767,297,Facade   383 Church Road Redfield,2011,10,"2010: 39.1, 2011: 36.7, 2012: 33.6, 2013: 34.9, 2014: 34.9",,36.7,Post Stage Four,No,-283168.484313521,6703131.19453382
1768,263,Gatton Road,2011,12,"2010: 43.1, 2011: 38.5, 2012: 35.7, 2013: 35, 2014: 33.9, 2015: 33.6, 2016: 33.6, 2017: 33.5",,38.5,Roadside Stage 4 (DT),No,-286346.675872253,6704467.7269175
1769,16,Third Way,2011,12,"2010: 35.1, 2011: 35.8, 2012: 36.4, 2013: 33.3, 2014: 34.6, 2015: 35.9, 2016: 35.7, 2017: 35.2, 2018: 32.6, 2019: 28.7, 2020: 23.2, 2021: 24.9, 2022: 25.8, 2023: 21.5, 2024: 21.5",,35.8,Roadside (DT),No,-299319.725243601,6711147.03571026
1770,13,Ferndown Close,2011,12,"2010: 31.1, 2011: 19.4, 2012: 18.1, 2013: 18.8, 2014: 16.3, 2015: 16.4, 2016: 18.5, 2017: 20.1",,19.4,Roadside (DT),No,-295764.424890332,6709235.86764723
1771,6,Church Road,2011,12,"2010: 40.9, 2011: 35.2, 2012: 33.6, 2013: 33.5, 2014: 30.5, 2015: 31.3, 2016: 33.7, 2017: 32.3",,35.2,Roadside (DT),No,-284862.629972362,6702776.2252846
1772,314,Lamppost     Whiteladies Road \ Cotham Hill Clifton,2011,12,"2010: 51.1, 2011: 44.1, 2012: 40.4, 2013: 44.4, 2014: 43, 2015: 43.9, 2016: 41.5, 2017: 38.3, 2018: 37.7, 2019: 31.3",,44.1,Post Stage Four,No,-290494.80521666,6703775.41034363
1773,318,Monitor     Rupert Street City Centre,2011,34,"2010: 102.6, 2011: 95.2, 2012: 90.6, 2013: 88.8, 2014: 88.8, 2015: 91.2, 2016: 82.8",,95.2,QAQC,No,-289014.631401276,6702256.65047887
1774,321,Monitor     Trailer Portway Park and Ride,2011,12,"2010: 28.9, 2011: 24, 2012: 24.6, 2013: 24.6, 2014: 25.1",,24,QAQC,No,-299313.461144271,6708429.88602366
1775,325,Facade   258 Fishponds Road Fishponds,2011,12,"2010: 51.8, 2011: 53, 2012: 49.8, 2013: 45.8, 2014: 49.7, 2015: 50.8, 2016: 50.5, 2017: 49.2, 2018: 48.1, 2019: 39.4, 2020: 34.1, 2021: 37.3, 2022: 32.6, 2023: 29.4, 2024: 27.6",,53,Post Stage Four,Yes,-284232.620635064,6705496.34843142
